Timestamp ,X ,Y ,Z
1675285745.3829474 ,[0.03447326] ,[0.44271025] ,[0.08436461]
1675285745.407388 ,[0.03459147] ,[0.43912001] ,[0.08410659]
1675285745.43071 ,[0.03505516] ,[0.44114809] ,[0.08392266]
1675285745.457193 ,[0.03505695] ,[0.43787141] ,[0.08369959]
1675285745.4789958 ,[0.03512161] ,[0.4448497] ,[0.08400481]
1675285745.5014362 ,[0.03517333] ,[0.45043128] ,[0.08428596]
1675285745.5247788 ,[0.03484638] ,[0.45009823] ,[0.08449664]
1675285745.5470223 ,[0.03488997] ,[0.44503237] ,[0.08422879]
1675285745.5674858 ,[0.03492485] ,[0.44091585] ,[0.08425712]
1675285745.5872164 ,[0.03495276] ,[0.43762347] ,[0.08428324]
1675285745.6070964 ,[0.03503827] ,[0.44468078] ,[0.08440762]
1675285745.6258156 ,[0.03473851] ,[0.44543545] ,[0.08488049]
1675285745.645733 ,[0.03449875] ,[0.44603914] ,[0.08531606]
1675285745.6642892 ,[0.03461195] ,[0.441788] ,[0.0849843]
1675285745.6848497 ,[0.03476567] ,[0.44801053] ,[0.08505349]
1675285745.702911 ,[0.03488863] ,[0.45298763] ,[0.08511722]
1675285745.7218418 ,[0.03461897] ,[0.45211159] ,[0.08539792]
1675285745.741268 ,[0.0344033] ,[0.45141078] ,[0.08565649]
1675285745.759733 ,[0.03453564] ,[0.44605412] ,[0.08543553]
1675285745.778664 ,[0.03464151] ,[0.4417696] ,[0.085232]
1675285745.7985227 ,[0.03442142] ,[0.44323363] ,[0.08509645]
1675285745.8190343 ,[0.03455016] ,[0.43951423] ,[0.08491967]
1675285745.838358 ,[0.03465316] ,[0.43653944] ,[0.08475683]
1675285745.8572109 ,[0.03479867] ,[0.44380887] ,[0.08484377]
1675285745.8761034 ,[0.03491507] ,[0.4496235] ,[0.08492386]
1675285745.8945184 ,[0.03494508] ,[0.44465958] ,[0.08462394]
1675285745.9153423 ,[0.03496908] ,[0.4406892] ,[0.08434766]
1675285745.935155 ,[0.03468366] ,[0.44230568] ,[0.08455268]
1675285745.956922 ,[0.03445538] ,[0.44363062] ,[0.08460616]
1675285745.9776363 ,[0.0342728] ,[0.44469049] ,[0.08465544]
1675285745.998197 ,[0.03443135] ,[0.44071537] ,[0.08437699]
1675285746.0185359 ,[0.03455819] ,[0.43753595] ,[0.0841205]
1675285746.0366845 ,[0.03502792] ,[0.43991378] ,[0.0838023]
1675285746.0572553 ,[0.0347309] ,[0.44168568] ,[0.08404997]
1675285746.0772967 ,[0.03449334] ,[0.44310311] ,[0.08427815]
1675285746.0957172 ,[0.03430334] ,[0.4442688] ,[0.0843532]
1675285746.1147087 ,[0.03415139] ,[0.44520129] ,[0.08442235]
1675285746.1337352 ,[0.03402986] ,[0.44591539] ,[0.08462117]
1675285746.1541986 ,[0.03460522] ,[0.44661682] ,[0.08426414]
1675285746.175076 ,[0.03506544] ,[0.4471779] ,[0.08393527]
1675285746.194256 ,[0.0350655] ,[0.44267607] ,[0.08385054]
1675285746.2155356 ,[0.03506554] ,[0.43907525] ,[0.08377251]
1675285746.237848 ,[0.03506558] ,[0.43622761] ,[0.08356428]
